Anio,Mes,Procuraduria,Total,Fecha
2023,JUNIO,TUXTLA GTEZ.,497,2023-06-01
2023,JUNIO,VERACRUZ,373,2023-06-01
2023,JUNIO,VILLAHERMOSA,592,2023-06-01
2023,JUNIO,ZACATECAS,220,2023-06-01
2023,DICIEMBRE,ACAPULCO,282,2023-12-01
2023,DICIEMBRE,AGUASCALIENTES,95,2023-12-01
2023,DICIEMBRE,AZCAPOTZALCO (JFCA),69,2023-12-01
2023,DICIEMBRE,CAMPECHE,128,2023-12-01
2023,DICIEMBRE,CANANEA,91,2023-12-01
2023,DICIEMBRE,CANCUN Q. ROO,226,2023-12-01
2023,DICIEMBRE,CD. DEL CARMEN,123,2023-12-01
2023,DICIEMBRE,CD. JUAREZ,873,2023-12-01
2023,DICIEMBRE,CD. VICTORIA,62,2023-12-01
2023,DICIEMBRE,CHETUMAL,21,2023-12-01
2023,DICIEMBRE,CHIHUAHUA,584,2023-12-01
2023,DICIEMBRE,COATZACOALCOS,497,2023-12-01
2023,DICIEMBRE,COLIMA,254,2023-12-01
2023,DICIEMBRE,CUERNAVACA,472,2023-12-01
2023,DICIEMBRE,CULIACAN,704,2023-12-01
2023,DICIEMBRE,CIUDAD DE MEXICO,5943,2023-12-01
2023,DICIEMBRE,DURANGO,340,2023-12-01
2023,DICIEMBRE,ENSENADA,274,2023-12-01
2023,DICIEMBRE,GUADALAJARA,1119,2023-12-01
2023,DICIEMBRE,GUANAJUATO,973,2023-12-01
2023,DICIEMBRE,HERMOSILLO,455,2023-12-01
2023,DICIEMBRE,JALAPA,495,2023-12-01
2023,DICIEMBRE,LA PAZ,447,2023-12-01
2023,DICIEMBRE,MERIDA,345,2023-12-01
2023,DICIEMBRE,MONTERREY,461,2023-12-01
2023,DICIEMBRE,MORELIA,217,2023-12-01
2023,DICIEMBRE,OAXACA,271,2023-12-01
2023,DICIEMBRE,ORIZABA,246,2023-12-01
2023,DICIEMBRE,PACHUCA,790,2023-12-01
2023,DICIEMBRE,PARRAL,133,2023-12-01
2023,DICIEMBRE,POZA RICA,338,2023-12-01
2023,DICIEMBRE,PUEBLA,1099,2023-12-01
2023,DICIEMBRE,QUERETARO,1836,2023-12-01
2023,DICIEMBRE,REYNOSA,160,2023-12-01
2023,DICIEMBRE,SALTILLO,384,2023-12-01
2023,DICIEMBRE,SAN LUIS POTOSI,113,2023-12-01
2023,DICIEMBRE,TAMPICO,333,2023-12-01
2023,DICIEMBRE,TEPIC,537,2023-12-01
2023,DICIEMBRE,TIJUANA,537,2023-12-01
2023,DICIEMBRE,TLAXCALA,233,2023-12-01
2023,DICIEMBRE,TOLUCA,567,2023-12-01
2023,DICIEMBRE,TORREON,952,2023-12-01
2023,DICIEMBRE,TUXTLA GTEZ.,306,2023-12-01
2023,DICIEMBRE,VERACRUZ,281,2023-12-01
2023,DICIEMBRE,VILLAHERMOSA,445,2023-12-01
2023,DICIEMBRE,ZACATECAS,136,2023-12-01
